,Product,Date,MERGE,SNOW %,CLOUD %,LAND %,SEA %,NODATA %,DATA Count,Test_P_1,Test_P_2,Test_P_3,Test_P_4,Test_P_5
88,H34,20190722,1,0.1242910922636742,1.9680826048788644,25.958549508583534,46.029448991156364,25.38751155386073,13778944,85,85,42,85,85
89,H34,20190723,1,0.12466122222428656,2.1847682957416765,25.74163883676427,46.04783936998365,25.38751155386073,13778944,85,85,42,85,85
90,H34,20190724,1,0.11928345162009511,2.2146835054994054,25.71722477426427,46.06584510394991,25.38751155386073,13778944,85,85,42,85,85
91,H34,20190725,1,0.09651683031733055,2.1109237398744054,25.84388905274599,46.083575054808264,25.38751155386073,13778944,85,85,42,85,85
92,H34,20190726,1,0.061456088362068964,2.299777109189209,25.69024883184081,46.10251699985137,25.38751155386073,13778944,85,85,42,85,85
93,H34,20190727,1,0.08655235118162902,2.8448043623662307,25.12025594994798,46.120138088956594,25.38751155386073,13778944,85,85,42,85,85
94,H34,20190728,1,6.047161524134215,2.1204019698461654,19.937246279540723,46.08830691234394,25.38406426501189,13778944,0,0,0,0,0
95,H34,20190729,1,0.06789344669664091,1.9914298221982758,25.992877248067774,46.15665032095348,25.38751155386073,13778944,85,85,85,85,85
96,H34,20190730,1,6.044773823015755,1.656861367605529,20.404074506725625,46.123302337247324,25.38406426501189,13778944,0,0,0,0,0
97,H34,20190731,1,0.09544998513674198,2.425701127749703,25.532116249256838,46.19105789239001,25.38751155386073,13778944,85,85,42,42,85
98,H34,20190801,1,0.13358788598023189,2.2261212470273484,25.69410253790131,46.20843948563837,25.38751155386073,13778944,85,85,85,85,85
99,H34,20190802,1,0.13789155395362665,2.561691229748811,25.354932859876634,46.2249792146626,25.38751155386073,13778944,85,85,85,42,85
100,H34,20190803,1,0.12164212293772295,2.2794562486065697,25.654215591557673,46.24138830958309,25.38751155386073,13778944,85,85,85,85,85
101,H34,20190804,1,0.11280980603448276,2.2789917717932524,25.66455745810419,46.257935296057525,25.38751155386073,13778944,85,85,85,85,85
102,H34,20190805,1,0.12885602844456007,2.570922706413496,25.357770522907998,46.27298724778909,25.38751155386073,13778944,85,85,42,85,85
103,H34,20190806,1,0.10200346267464329,2.4644196246098393,25.492468798770062,46.28787227816588,25.38751155386073,13778944,85,85,42,85,85
104,H34,20190807,1,0.1086077423640012,2.0519206696826697,25.899807706599287,46.30248152543475,25.38751155386073,13778944,85,85,42,42,85
105,H34,20190808,1,0.1191455600661415,2.6209918553990788,25.32180985712693,46.316270680830115,25.38751155386073,13778944,85,85,42,42,85
106,H34,20190809,1,0.10899964467523782,2.8420973334386144,25.112918667787604,46.32958084451174,25.38751155386073,13778944,85,85,42,85,85
